Composer	Title	RISM ID	A number	B number	UTL MMS ID								
"Tenducci, Giusto Ferdinando$d1736c-1790$jAscertained$030003615"	Ricordati mio bene | M.|r Tenducci's rondo.	820000001			991106378691806196								
"Bertoni, Ferdinando$d1725-1813$jAscertained$030000328"	La partenza | cantata à voce sola di contr'alto.	820000002			991106342211106196								
"Palmerini, Luigi$d1768-1842$jVerified$030006416"	"Litanie a 3. voci con clarinetti, corni, e fagotto, e violone | di Luigi Palmieri"	820000229											
"Mozart, Wolfgang Amadeus$d1756-1791$jAscertained$0115324"	Ascanio in Alba	820000228											
"Duni, Egidio Romualdo$d1708-1775$030000905"	"Les sabots. Pièce en un acte ... représentée pour la 1|r|e fois sur le Théâtre des comédiens ital. ord. du Roi [Paris, auteur; aux adresses ordinaires; Lyon, Castaud (gravée par Dezauche); Castaud (imprimée par Monthulay)]"	990015522	DD 3795										
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"Les mariages samnites. Drame lyrique en trois actes et en prose, représenté ... le 12 juin 1776 [Paris, Houbaut; Lyon, Castaud (Dezauche, Basset)]"	990023174	G 4259										
"Haydn, Joseph$d1732-1809$055803"	"The celebrated overture ... performed at Messrs. Bach & Abel's concerts adapted for the piano forte or harpsichord [London, Longman & Broderip]"	990028410	H 4260										
"Haydn, Joseph$d1732-1809$055803"	"Grande sonate pour le forte-piano ... œuvre 92 [Paris, B. Viguerie (écrit par Ribière)]"	990028117	H 3964										
"Händel, Georg Friedrich$d1685-1759$036552"	"Dryden's ode on S|t Cecilia's Day. Composed by M|r Handel [Nr. 10-11 der Sammlung: The New Musical Magazine, veröffentlicht zusammen mit: Acis and Galatea, 1784] [[London], [Harrison & Co.]]"	990025320	H 1040										
"Händel, Georg Friedrich$d1685-1759$036552"	"Acis and Galatea. A masque. Composed by M|r Handel, for the voice, harpsichord, and violin [London, Harrison & Co.]"	990024713	H 385										
"Galliard, John Ernest$d1680c-1749$030004454"	"The morning hymn, taken from the fifth book of Milton's Paradise lost ..., the overture, accompanyments & chorusses added by Benjamin Cooke. [London, Welcker]"	990019462	G 231										
"Dibdin, Charles$d1745-1814$0164414"	"Cheap experience [London, author]"	990014144	D 2366										
"Dibdin, Charles$d1745-1814$0164414"	"The tye wig volunteers [London, author]"	990014165	D 2387										
"Dibdin, Charles$d1745-1814$0164414"	"The flowing can [London, author]"	990014287	D 2513										
"Dibdin, Charles$d1745-1814$0164414"	"All the birds in the air [London, author]"	990014360	D 2587										
"Dibdin, Charles$d1745-1814$0164414"	"Leap year [London, author]"	990014370	D 2597										
"Dibdin, Charles$d1745-1814$0164414"	"The lucky escape [London, author]"	990014372	D 2599										
"Dibdin, Charles$d1745-1814$0164414"	"The rara avis [London, author]"	990014381	D 2608										
"Dibdin, Charles$d1745-1814$0164414"	"The reward of fidelity [London, author]"	990014382	D 2609										
"Dibdin, Charles$d1745-1814$0164414"	"The royal nuptials [London, author]"	990014384	D 2611										
"Dibdin, Charles$d1745-1814$0164414"	"The sailor's consolation [London, author]"	990014385	D 2612										
"Dibdin, Charles$d1745-1814$0164414"	"The soldier's last retreat [London, author]"	990014392	D 2619										
"Dibdin, Charles$d1745-1814$0164414"	"Tack and tack [London, author]"	990014393	D 2620										
"Dibdin, Charles$d1745-1814$0164414"	"Tantivy [London, author]"	990014394	D 2621										
"Dibdin, Charles$d1745-1814$0164414"	"Virtue [London, author]"	990014396	D 2623										
"Dibdin, Charles$d1745-1814$0164414"	"The bowmen of Kent [London, author]"	990014413	D 2640										
"Dibdin, Charles$d1745-1814$0164414"	"The etymology of quiz [London, author]"	990014415	D 2642										
"Dibdin, Charles$d1745-1814$0164414"	"The fair [London, author]"	990014416	D 2643										
"Dibdin, Charles$d1745-1814$0164414"	"The Grecian history [London, author]"	990014418	D 2645										
"Dibdin, Charles$d1745-1814$0164414"	"A hint to the ladies [London, author]"	990014419	D 2646										
"Dibdin, Charles$d1745-1814$0164414"	"Honesty in tatters [London, author]"	990014420	D 2647										
"Dibdin, Charles$d1745-1814$0164414"	"The miseries of war [London, author]"	990014427	D 2654										
"Dibdin, Charles$d1745-1814$0164414"	"A dose for the dons [London, author]"	990014523	D 2750										
"Dibdin, Charles$d1745-1814$0164414"	"The constant sailor [London, author]"	990014538	D 2765										
"Dibdin, Charles$d1745-1814$0164414"	"A drop of the creature [London, author]"	990014544	D 2771										
"Dibdin, Charles$d1745-1814$0164414"	"Patrick O' Row [London, author]"	990014564	D 2791										
"Dibdin, Charles$d1745-1814$0164414"	"Love's lesson [London, author]"	990014149	D 2371										
