UTL Catkey	100	245	260	300	RISM A number	RISM B number	RISM ID	Correct A number	Correct B number	CDN-Tu?	Notes	RISM ID no	[ACTUAL NUMBERS]	New 510
177214	"Cimarosa, Domenico,1749-1801"	"12$aL'impresario in angustie,$bou, Le directeur dans l'embarras : opera bouffon en deux actes, représenté sur le Theatre de la rue Faydeau /$cmusique del Sgor Cimarosa ; paroles françaises par Mr Dxxx."	"\\$aA Paris :$bChez le sr Sieber ...,$c[between 1799 and 1802]"	"[1], p., 1 score (214 p.)"	C 2279		990009725			no		RISM ID no. 	990009725	RISM ID no. 990009725
181611	"Campra, André,1660-1744."	"10$aIdomenée :$btragedie /$cmise en musique par Monsieur Campra ; représentée pour la premiere fois par l'Academie royale de musique, le mardy douziéme jour de janvier 1712."	"0\$aA Paris :$bChez Christophe Ballard ...,$c1712."	"1 score ([8], lv, [1], 345, [1] p.)"	C 735		990008495			No		RISM ID no. 	990008495	RISM ID no. 990008495
303334	"Lully, Louis de,1664-1734."	10$aOrphée :$btragedie /$cmise en musique par Monsieur de Lully l'aisné.	"\\$aA Paris :$bPar Christophe Ballard ..., et se vend à la porte de l'Academie royalle de musique ...,$c1690."	"[4] p., 1 score (255 (i.e. 257) p.)"	L 3070		990038697			No		RISM ID no. 	990038697	RISM ID no. 990038697
347590	"Burney, Charles,1726-1814."	"10$aPreludes, fugues, and interludes, for the organ :$balphabetically arranged in all the keys that are most perfectly in tune upon that instrument, & printed in a pocket size for the convenience of young organists, for whose use this book is particularly calculated & published /$cby Chas. Burney, Mus:D: ; book I."	"\\$aLondon :$bPrinted for the Author & sold at the music shops,$c[ca. 1790]"	"1 score ([1], 44 p.)"	B 5065		990007646			no		RISM ID no. 	990007646	RISM ID no. 990007646
474166	"Grétry, André-Ernest-Modeste,1741-1813"	"10$aPartition d'Andromaque :$btragédie lyrique en trois actes : representée pour la premiere fois par l'Académie royale de musique, le mardi 6 juin 1780 ... /$cmise en musique par M. Gretry ... ; gravée par le Sr. Huguet ..."	"\\$aA Paris :$bChez Mlle. Jenny Gretry ...,$c[1800?]"	"1 score ([2], 219 p.)"	GG 3975a		991019426			No		RISM ID no. 	991019426	RISM ID no. 991019426
482955	"Vierling, Johann Gottfried,1750-1813"	10$aVersuch einer Anleitung zum Präludiren für Ungeübtere :$bmit Beyspielen erlaütert /$cvon Johann Gottfried Vierling ...	"\\$aLeipzig :$bIn der Breitkopfischen Musikhandlung,$c[1794]"	"30, [1] p. :music"		"II, 262"	Not in RISM							
484537	"Lagarde, Pierre de,1717-approximately 1792"	"\\$aAeglé :$bballet en un acte : représenté devant le roy : sur le thé^atre des petits appartements a Versailles le 13. janvier : et le 25. fevrier 1750 : mis au thé^atre de l'Academie royale de musique, le 18. janvier 1751 : et remis le 25. juin 1760 ... /$ccomposé par Mr. De La Garde ..."	"\\$aA Paris :$bChés l'auteur ... [et 5 autres] ; imprimé par le Sr. Montulay,$c[1760?]"	"1 score ([2], 65 p.)"	L 202		990036037			No		RISM ID no. 	990036037	RISM ID no. 990036037
488122	"Bach, Johann Sebastian,1685-1750."	10$aSechs Praeludien und sechs Fugen für Orgel oder Pianoforte mit Pedal /$cvon Johann Sebastian Bach.	"\\$aWien :$bBei S.A. Steiner,$c[1824?]"	63 p. of music.	B 469		990003423			No		RISM ID no. 	990003423	RISM ID no. 990003423
488165	"Bach, Johann Sebastian,1685-1750."	10$aExercises pour le clavecin /$cpar J.S. Bach ; oeuv. III ...	"\\$aLeipzig :$bAu Bureau de musique de C.F. Peters,$c[1804?]"	63 p. of music.	B 490		990003444			No		RISM ID no. 	990003444	RISM ID no. 990003444
494222	"Grétry, André-Ernest-Modeste,1741-1813"	"10$aAnacréon chez Polycrate :$bopéra en trois actes : représenté pour la première fois à Paris, sur le Théatre de la Republique et des Arts, le 28 niv^ose, an 5 /$cparoles de J.H. Guy ; mis en musique par Grétry ... ; gravée par Huguet ..."	"\\$aA Paris :$bChez l'auteur ... ; et aux adresses ordinaires de musique,$c[1799]"	"1 score ([2], 258 p.)"	G 3969		990022958			no		RISM ID no. 	990022958	RISM ID no. 990022958
