1	100	245	260	510	500	300	RISM ID
1136754	"10$aMartini, Johann Paul Aegidius,$d1741-1816."	"10$aMélopée moderne,$boù, L'art du chant, réduit en principes /$ccomposé ... par Mr. Martini ; cet ouvrage qui traite généralement de l'exécution de la musique, est également utile aux personnes qui apprennent á s'accompagner sur le forte-piano ; on y trouvera aussi la vrai maniere d'accorder le piano et la harpe."	"0\$aA Paris :$bChez M. Boyer ... ;$aA Lyon :$bChez Mr. Garnier ...,$c[1792?]"	"\4$aRISM A: M 1167 ; RISM B: VI, 553"	"\\$aEngraved throughout.  Title within ornamental border.  At foot of t.p.: Ecrit par Ribiere.;\\$a""Partition pour accorder les forte-piano"" and ""Partition pour accorder la harpe"": p. 83-88."	\\$a88 p. :$bmusic.	
4725437	"1\$aArnold, John,$dca. 1720-1792"	"14$a[The Essex harmony :$bbeing an entire new collection of the most celebrated songs and catches, canzonets, canons, and glees : for two, three, four, five and nine voices : from the works of the most eminent masters : vol II /$cby John Arnold."	"\\$aLondon :$bPrinted by A. Rivington and J. Marshall, for J. Buckland, B. Law and S. Crowder,$c1786]"	"\4$aRISM A: A 2192; RISM B: II, 166"	"\\$aWith an index;\\$aIntended as a companion volume to ""The Essex harmony: being a choice collection of the most celebrated songs and catches."""	"\\$a[4], 154, [2] p. (chiefly music)"	
3797740	"10$aJones, Edward,$d1752-1824."	"10$aMusical and poetical relicks of the Welsh bards,$bpreserved, by tradition and authentic manuscripts, from very remote antiquity; never before published.  To the bardic tunes are added variations for the harp, harpsichord, violin, or flute.  With a select collection of the pennillion and englynion ... with English translations.  Likewise, a general history of the bards and druids ... with an account of their music and poetry, to which is prefixed, a copious dissertation on the musical instruments of the aboriginal Britons."	"00$aLondon,$bThe Author,$c1794."	\4$aRISM A: J 608	\\$aThe second volume was published under title: The bardic museum.	"\\$a[3], 183, viii p.$billus."	
3797748	"10$aLebrun, Louis Sébastien,$d1764-1829"	"00$a[Morceaux du Rossignol,$bopéra comique.$cParoles d'Étienne]"	"0\$aParis,$bPacini$c[between 1812 and 1820]"	\4$aRISM A: LL 1249 I 19-24	"\\$aPl. no. 365-366, 368, 371."	\\$a1 v. (various pagings)	
3797735	"10$aJommelli, Nicolò,$d1714-1774."	"13$aLa passione di nostro Signore Giesu Cristo,$boratorio.$cPoesia del Signor Metastasio."	"00$aLondon,$bPrinted & sold by R. Bremner$c[1770]"	\4$aRISM A: J 568	\\$aWith unrealized continuo.	"\\$a[4] p., score (127 p.)"	
3797767	"10$aDoche, Joseph Denis,$d1766-1825"	13$aLe premier pas;$bromance du Petit courier.$cParoles de Mrs. Moreau et Bouilly.  Musique et accompagnement de piano ou harpe par J.D. Doche.	"0\$aParis,$bJouve$c[between 1822 and 1829]"	\4$aRISM A: D 3309	\\$aPl. no. 115.;\\$aCaption title.	\\$a3 p.	
3797750	"10$aJadin, Louis-Emmanuel,$d1768-1853."	"10$aÇa m'est égal;$bou, L'égoïste, chanson.$cParoles de J.E. Dépreaux."	"0\$aParis,$bMomigny$c[18--]"	\4$aNot in RISM?	"\\$aPl. no. 9.;\\$aCaption title.;\\$aImprint covered by label: A Paris, à la Lyre moderne, chez Meissonnier ..."	\\$a10-11 p.	
3797759	"10$aDoche, Joseph Denis,$d1766-1825"	00$aWalse de Frontin mari garçon.$cParoles de Mrs. Scribe et Melesville.  Avec accompagnement de piano.	"0\$aParis,$bHentz, Jouve$c[1828?]"	\4$aRISM A: DD 3316c	\\$aPl. no. 287.;\\$aCaption title.	\\$a5 p.	
3797789	"10$aJadin, Louis-Emmanuel,$d1768-1853$earr."	"14$aLes veillées du salon;$bnouvelle suite des soirées agréables de la campagne, dédiées aux dames.  [6e.] recueil de contre-danses, waltzes, sauteuses et anglaises de Veber et des meilleurs auteurs, arrangées pour le forte-piano."	"0\$aParis,$bFrere fils$c[between 1812 and 1822]"	\4$aRISM A: J 406?	"\\$aPl. no. 23, 8."	\\$a12 p.	
3797783	"10$aJackson, William,$d1730-1803"	"14$aThe lord of the manor;$ba comic opera$ccomposed by William Jackson, adapted for the voice and harpsichord.  Opera XII."	"0\$aLondon,$bPrinted & sold by J. Preston$c[1781]"	\4$aRISM A: J 141	\\$aVocal score with instrumental indications.;\\$aLibretto by J. Burgoyne.	"\\$a[1], 51, [1] p. (p. [1] at end advertisement)"	
3797787	"10$aJackson, William,$d1730-1803"	10$aTwelve songs.$bOpera quarta.	"1\$aLondon,$bThe Author; W. Clark, sculp.$c[ca. 1765]"	\4$aRISM A: J 96	"\\$aFor solo voice and strings, with figured bass; no. 10 also with horns."	"\\$a[1], iii, [1] p., score (42 p.)"	
3797785	"10$aJackson, William,$dfl. 1726"	"02$aA preliminary discourse to a scheme,$bdemonstrating and shewing the perfection and harmony of sounds."	"0\$aWestminster,$bPrinted by J. Cluer and A. Campbell$c[1726?]"	"\4$aRISM B: VI, 431"		"\\$a53, [2] p. (p. [2] at end advertisement)$bfold. plate."	
3797771	"10$aGelinek, Joseph,$d1758-1825"	"01$a[Airs,$cetc. with variations for the pianoforte."	"0\$aLondon,$cbetween 1809 and 1855]"	\4$aNone in RISM	\\$aEach piece has special t.p. and separate paging.;\\$aIncludes advertisement.	\\$a1 v. (various pagings)	
3797703	"10$aHook,$cMr.$q(James),$d1746-1827."	"14$aThe double disguise;$ba comic opera, as performed with universal applause at the Theatre Royal, in Drury Lane.  Opera 32."	"0\$aLondon,$bPrinted & sold by J. Preston$c[1784]"	\4$aRISM A: H 6467	\\$aVocal score with instrumental indications.;\\$aLibretto attributed to Mrs. Hook.	"\\$a[1], 42 p."	
