Composer	Title	RISM ID	A number	B number
"Tenducci, Giusto Ferdinando$d1736c-1790$jAscertained$030003615"	Ricordati mio bene | M.|r Tenducci's rondo.	820000001		
"Bertoni, Ferdinando$d1725-1813$jAscertained$030000328"	La partenza | cantata à voce sola di contr'alto.	820000002		
"Palmerini, Luigi$d1768-1842$jVerified$030006416"	"Litanie a 3. voci con clarinetti, corni, e fagotto, e violone | di Luigi Palmieri"	820000229		
"Mozart, Wolfgang Amadeus$d1756-1791$jAscertained$0115324"	Ascanio in Alba	820000228		
"Duni, Egidio Romualdo$d1708-1775$030000905"	"Les sabots. Pièce en un acte ... représentée pour la 1|r|e fois sur le Théâtre des comédiens ital. ord. du Roi [Paris, auteur; aux adresses ordinaires; Lyon, Castaud (gravée par Dezauche); Castaud (imprimée par Monthulay)]"	990015522	D 3795; DD 3795	
"Dussek, Jan Ladislav$d1760-1812$025967"	"Concerto [Es] pour le piano forte avec accompagnement de grand orchestre ... œuvre 15 [London, Longman & Broderip]"	990015724	D 4014	
"Dussek, Jan Ladislav$d1760-1812$025967"	"Trois sonates [C, F, G] pour le piano forte ou le clavecin avec accompagnement d'un violon non obligé ... op. XVI [London, Longman & Broderip]"	990015901	D 4195; DD 4195	
"Fesch, Willem de$d1687-1761$030001054"	"Twelve sonatas for two german flutes, or two violins; with a bass for the violoncello or harpsichord ... opera XII [London, John Walsh]"	990017874	F 638; FF 638	
"Gluck, Christoph Willibald$d1714-1787$067338"	"ORPHÉE | ET | EURIDICE | TRAGÉDIE | Opera en trois Actes. | Dédiée | A LA REINE. | Par Monsieur le Chevalier | GLUCK. | Representé pour la première fois par l'Academie | Royale de Musique, le Mardi, 2. Aoust, 1774. | Les Parolles [!] sont de M.|R MOLINE. | Gravée par Madame Lobry. | Prix 24|t|t | A PARIS | Chez M.|r Lemarchand, Editeur, de tous les Ouvrages de cet | Autheur. M.|d de Musique, rue Fromanteau, Maison du Sellier. | A.P.D.R. | Ecrit par Ribiere"	990021969	G 2852; GG 2852	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"[title page:] ŒUVRE II.|E | LUCILE | COMEDIE EN UN ACTE | Et en Vers | DÉDIÉE | A son Excellence, Monseigneur, | LE COMTE D'OULTREMONT | Frere et Premier Ministre de son Altesse Monseigneur | le Prince-Ev^que de Liege | Mise en Musique | PAR | ANDRE GRETRY | De L'accadémie des Philarmoniques de Boulonge. | Représentée pour la première fois, par les Comédiens Ital. ordin|e|s du Roi le 5 janvier 1769 | Gravée par Dézauche | Prix 15.|f|f | A PARIS | Aux Adresses ordinaires.  A LION M. Castaud vis à vis la Comédie. | avec privilege du Roi. De l'Imprimerie de Montulay."	990023151	G 4225; GG 4225	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"L'épreuve villageoise. Opéra bouffon en deux actes en vers, par M. Desforges, représenté ... le jeudi 24 juin 1784 ... œuvre XXIII [Paris, Houbaut (Huguet, Basset); Lyon, Castaud]"	990023067	G 4114; GG 4114	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"Guillaume Tell. Drame en trois actes, en prose et en vers, par le citoyen Sedaine, représenté ... au mois de mars 1791 ... œuvre XXXI [Paris, auteur (Huguet)]"	990023114	G 4179; GG 4179	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"Songs, duets, trios & chorusses ... adapted to the English words by M. Linley [London, S., A. & P. Thompson]"	990023250	G 4346; GG 4346	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"Les mariages samnites. Drame lyrique en trois actes et en prose, représenté ... le 12 juin 1776 [Paris, Houbaut; Lyon, Castaud (Dezauche, Basset)]"	990023174	G 4259; GG 4259	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"Richard Cœur-de-Lion. Comédie en trois actes en prose et en vers par M. Sedaine, représentée ... le 2 octobre 1784 ... œuvre XXIV [Paris, Houbaut (Huguet)]"	990023229	G 4325; GG 4325	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"Le tableau parlant. Comédie parade en un acte et en vers, représentée ... le 20 septembre 1769 [Paris, aux adresses ordinaires; Lyon, Castaud (Dezauche, Montulay)]"	990023344	G 4466; GG 4466	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"[title page:] ŒUVRE VII.|E | ZEMIRE ET AZOR | COMÉDIE-BALLET | En Vers et en Quatre Actes | Représentée devant sa Majesté à fontainebleau le 9 novemb. | 1771 et à la Comédie Italienne le lundi 16 Décembre 1771. | Dédiée à Madame La Comtesse | DU BARRY | PAR | M. GRETRY | Pensionnaire du Roi | Et de l'Académie des Philarmoniques de Boulongne. | Prix 24|f|f | Gravée par J. Dezauche. | A PARIS Chés Houbaut rue Mauconseil prés la Cmedie Italienne, et | chés qui l'on trouvera les Parties gravées separement. | Imprimée par Mentulay"	990023365	G 4497; GG 4497	
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"... [Paris, J. Frey]"	990023100	G 4157; GG 4157	
"Jackson, William$d1730-1803$030004143"	"Twelve songs (1 V, Streicher und bc; No. 10 mit cor) ... opera quarta. [London, at the music shops; for the author (William Clark)]"	990032181	J 96; JJ 96	
"Jackson, William$d1730-1803$030004143"	"The lord of the manor. A comic opera ... opera XII. [London, John Preston]"	990032222	J 141; JJ 141	
"Jackson, William$d1730-1803$030004143"	"... [ohne Opuszahl] [London, Harrison & Co.]"	990032207	J 124	
